instant,dteday,season,year,month,hours,holiday,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,temp_actual,atemp_actual,hum_actual,windspeed_actual,time_group,temp_category
24,2011-01-01,Spring,2011,Jan,23,No,Saturday,Mist,0.46,0.4545,0.88,0.2985,15,24,39,18.86,22.725,88.0,19.999499999999998,Night,Mild
25,2011-01-02,Spring,2011,Jan,0,No,Sunday,Mist,0.46,0.4545,0.88,0.2985,4,13,17,18.86,22.725,88.0,19.999499999999998,Night,Mild
26,2011-01-02,Spring,2011,Jan,1,No,Sunday,Mist,0.44,0.4394,0.94,0.2537,1,16,17,18.04,21.97,94.0,16.997899999999998,Night,Mild
27,2011-01-02,Spring,2011,Jan,2,No,Sunday,Mist,0.42,0.4242,1.0,0.2836,1,8,9,17.22,21.21,100.0,19.0012,Night,Mild
28,2011-01-02,Spring,2011,Jan,3,No,Sunday,Mist,0.46,0.4545,0.94,0.194,2,4,6,18.86,22.725,94.0,12.998000000000001,Night,Mild
29,2011-01-02,Spring,2011,Jan,4,No,Sunday,Mist,0.46,0.4545,0.94,0.194,2,1,3,18.86,22.725,94.0,12.998000000000001,Night,Mild
30,2011-01-02,Spring,2011,Jan,6,No,Sunday,Light Rain/Snow,0.42,0.4242,0.77,0.2985,0,2,2,17.22,21.21,77.0,19.999499999999998,Morning,Mild
31,2011-01-02,Spring,2011,Jan,7,No,Sunday,Mist,0.4,0.4091,0.76,0.194,0,1,1,16.400000000000002,20.455000000000002,76.0,12.998000000000001,Morning,Mild
32,2011-01-02,Spring,2011,Jan,8,No,Sunday,Light Rain/Snow,0.4,0.4091,0.71,0.2239,0,8,8,16.400000000000002,20.455000000000002,71.0,15.001299999999999,Morning,Mild
33,2011-01-02,Spring,2011,Jan,9,No,Sunday,Mist,0.38,0.3939,0.76,0.2239,1,19,20,15.58,19.695,76.0,15.001299999999999,Morning,Mild
34,2011-01-02,Spring,2011,Jan,10,No,Sunday,Mist,0.36,0.3485,0.81,0.2239,7,46,53,14.76,17.424999999999997,81.0,15.001299999999999,Morning,Mild
35,2011-01-02,Spring,2011,Jan,11,No,Sunday,Mist,0.36,0.3333,0.71,0.2537,16,54,70,14.76,16.665,71.0,16.997899999999998,Morning,Mild
36,2011-01-02,Spring,2011,Jan,12,No,Sunday,Mist,0.36,0.3333,0.66,0.2985,20,73,93,14.76,16.665,66.0,19.999499999999998,Afternoon,Mild
37,2011-01-02,Spring,2011,Jan,13,No,Sunday,Mist,0.36,0.3485,0.66,0.1343,11,64,75,14.76,17.424999999999997,66.0,8.9981,Afternoon,Mild
38,2011-01-02,Spring,2011,Jan,14,No,Sunday,Light Rain/Snow,0.36,0.3485,0.76,0.194,4,55,59,14.76,17.424999999999997,76.0,12.998000000000001,Afternoon,Mild
39,2011-01-02,Spring,2011,Jan,15,No,Sunday,Light Rain/Snow,0.34,0.3333,0.81,0.1642,19,55,74,13.940000000000001,16.665,81.0,11.0014,Afternoon,Cold
40,2011-01-02,Spring,2011,Jan,16,No,Sunday,Light Rain/Snow,0.34,0.3333,0.71,0.1642,9,67,76,13.940000000000001,16.665,71.0,11.0014,Afternoon,Cold
41,2011-01-02,Spring,2011,Jan,17,No,Sunday,Clear,0.34,0.3333,0.57,0.194,7,58,65,13.940000000000001,16.665,56.99999999999999,12.998000000000001,Evening,Cold
42,2011-01-02,Spring,2011,Jan,18,No,Sunday,Mist,0.36,0.3333,0.46,0.3284,10,43,53,14.76,16.665,46.0,22.0028,Evening,Mild
43,2011-01-02,Spring,2011,Jan,19,No,Sunday,Clear,0.32,0.2879,0.42,0.4478,1,29,30,13.120000000000001,14.395,42.0,30.002599999999997,Evening,Cold
44,2011-01-02,Spring,2011,Jan,20,No,Sunday,Clear,0.3,0.2727,0.39,0.3582,5,17,22,12.299999999999999,13.635,39.0,23.9994,Evening,Cold
45,2011-01-02,Spring,2011,Jan,21,No,Sunday,Clear,0.26,0.2273,0.44,0.3284,11,20,31,10.66,11.365,44.0,22.0028,Night,Cold
46,2011-01-02,Spring,2011,Jan,22,No,Sunday,Clear,0.24,0.2121,0.44,0.2985,0,9,9,9.84,10.605,44.0,19.999499999999998,Night,Cold
47,2011-01-02,Spring,2011,Jan,23,No,Sunday,Clear,0.22,0.2273,0.47,0.1642,0,8,8,9.02,11.365,47.0,11.0014,Night,Cold
48,2011-01-03,Spring,2011,Jan,0,No,Monday,Clear,0.22,0.197,0.44,0.3582,0,5,5,9.02,9.85,44.0,23.9994,Night,Cold
49,2011-01-03,Spring,2011,Jan,1,No,Monday,Clear,0.2,0.1667,0.44,0.4179,0,2,2,8.200000000000001,8.334999999999999,44.0,27.999299999999998,Night,Cold
50,2011-01-03,Spring,2011,Jan,4,No,Monday,Clear,0.16,0.1364,0.47,0.3881,0,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,Night,Cold
51,2011-01-03,Spring,2011,Jan,5,No,Monday,Clear,0.16,0.1364,0.47,0.2836,0,3,3,6.5600000000000005,6.819999999999999,47.0,19.0012,Night,Cold
52,2011-01-03,Spring,2011,Jan,6,No,Monday,Clear,0.14,0.1061,0.5,0.3881,0,30,30,5.74,5.305,50.0,26.0027,Morning,Cold
53,2011-01-03,Spring,2011,Jan,7,No,Monday,Clear,0.14,0.1364,0.5,0.194,1,63,64,5.74,6.819999999999999,50.0,12.998000000000001,Morning,Cold
54,2011-01-03,Spring,2011,Jan,8,No,Monday,Clear,0.14,0.1212,0.5,0.2836,1,153,154,5.74,6.0600000000000005,50.0,19.0012,Morning,Cold
55,2011-01-03,Spring,2011,Jan,9,No,Monday,Clear,0.16,0.1364,0.43,0.3881,7,81,88,6.5600000000000005,6.819999999999999,43.0,26.0027,Morning,Cold
56,2011-01-03,Spring,2011,Jan,10,No,Monday,Clear,0.18,0.1667,0.43,0.2537,11,33,44,7.38,8.334999999999999,43.0,16.997899999999998,Morning,Cold
57,2011-01-03,Spring,2011,Jan,11,No,Monday,Clear,0.2,0.1818,0.4,0.3284,10,41,51,8.200000000000001,9.09,40.0,22.0028,Morning,Cold
58,2011-01-03,Spring,2011,Jan,12,No,Monday,Clear,0.22,0.2121,0.35,0.2985,13,48,61,9.02,10.605,35.0,19.999499999999998,Afternoon,Cold
59,2011-01-03,Spring,2011,Jan,13,No,Monday,Clear,0.24,0.2121,0.35,0.2836,8,53,61,9.84,10.605,35.0,19.0012,Afternoon,Cold
60,2011-01-03,Spring,2011,Jan,14,No,Monday,Clear,0.26,0.2424,0.3,0.2836,11,66,77,10.66,12.120000000000001,30.0,19.0012,Afternoon,Cold
61,2011-01-03,Spring,2011,Jan,15,No,Monday,Clear,0.26,0.2424,0.3,0.2537,14,58,72,10.66,12.120000000000001,30.0,16.997899999999998,Afternoon,Cold
62,2011-01-03,Spring,2011,Jan,16,No,Monday,Clear,0.26,0.2424,0.3,0.2537,9,67,76,10.66,12.120000000000001,30.0,16.997899999999998,Afternoon,Cold
63,2011-01-03,Spring,2011,Jan,17,No,Monday,Clear,0.24,0.2273,0.3,0.2239,11,146,157,9.84,11.365,30.0,15.001299999999999,Evening,Cold
64,2011-01-03,Spring,2011,Jan,18,No,Monday,Clear,0.24,0.2576,0.32,0.1045,9,148,157,9.84,12.879999999999999,32.0,7.0015,Evening,Cold
65,2011-01-03,Spring,2011,Jan,19,No,Monday,Clear,0.2,0.2576,0.47,0.0,8,102,110,8.200000000000001,12.879999999999999,47.0,0.0,Evening,Cold
66,2011-01-03,Spring,2011,Jan,20,No,Monday,Clear,0.2,0.2273,0.47,0.1045,3,49,52,8.200000000000001,11.365,47.0,7.0015,Evening,Cold
67,2011-01-03,Spring,2011,Jan,21,No,Monday,Clear,0.18,0.197,0.64,0.1343,3,49,52,7.38,9.85,64.0,8.9981,Night,Cold
68,2011-01-03,Spring,2011,Jan,22,No,Monday,Clear,0.14,0.1515,0.69,0.1343,0,20,20,5.74,7.575,69.0,8.9981,Night,Cold
69,2011-01-03,Spring,2011,Jan,23,No,Monday,Clear,0.18,0.2121,0.55,0.1045,1,11,12,7.38,10.605,55.00000000000001,7.0015,Night,Cold
70,2011-01-04,Spring,2011,Jan,0,No,Tuesday,Clear,0.16,0.1818,0.55,0.1045,0,5,5,6.5600000000000005,9.09,55.00000000000001,7.0015,Night,Cold
71,2011-01-04,Spring,2011,Jan,1,No,Tuesday,Clear,0.16,0.1818,0.59,0.1045,0,2,2,6.5600000000000005,9.09,59.0,7.0015,Night,Cold
72,2011-01-04,Spring,2011,Jan,2,No,Tuesday,Clear,0.14,0.1515,0.63,0.1343,0,1,1,5.74,7.575,63.0,8.9981,Night,Cold
73,2011-01-04,Spring,2011,Jan,4,No,Tuesday,Clear,0.14,0.1818,0.63,0.0896,0,2,2,5.74,9.09,63.0,6.0032,Night,Cold
74,2011-01-04,Spring,2011,Jan,5,No,Tuesday,Clear,0.12,0.1515,0.68,0.1045,0,4,4,4.92,7.575,68.0,7.0015,Night,Cold
75,2011-01-04,Spring,2011,Jan,6,No,Tuesday,Clear,0.12,0.1515,0.74,0.1045,0,36,36,4.92,7.575,74.0,7.0015,Morning,Cold
76,2011-01-04,Spring,2011,Jan,7,No,Tuesday,Clear,0.12,0.1515,0.74,0.1343,2,92,94,4.92,7.575,74.0,8.9981,Morning,Cold
77,2011-01-04,Spring,2011,Jan,8,No,Tuesday,Clear,0.14,0.1515,0.69,0.1642,2,177,179,5.74,7.575,69.0,11.0014,Morning,Cold
78,2011-01-04,Spring,2011,Jan,9,No,Tuesday,Clear,0.16,0.1515,0.64,0.2239,2,98,100,6.5600000000000005,7.575,64.0,15.001299999999999,Morning,Cold
79,2011-01-04,Spring,2011,Jan,10,No,Tuesday,Mist,0.16,0.1364,0.69,0.3284,5,37,42,6.5600000000000005,6.819999999999999,69.0,22.0028,Morning,Cold
80,2011-01-04,Spring,2011,Jan,11,No,Tuesday,Clear,0.22,0.2121,0.51,0.2985,7,50,57,9.02,10.605,51.0,19.999499999999998,Morning,Cold
81,2011-01-04,Spring,2011,Jan,12,No,Tuesday,Clear,0.22,0.2273,0.51,0.1642,12,66,78,9.02,11.365,51.0,11.0014,Afternoon,Cold
82,2011-01-04,Spring,2011,Jan,13,No,Tuesday,Clear,0.24,0.2273,0.56,0.194,18,79,97,9.84,11.365,56.00000000000001,12.998000000000001,Afternoon,Cold
83,2011-01-04,Spring,2011,Jan,14,No,Tuesday,Clear,0.26,0.2576,0.52,0.2239,9,54,63,10.66,12.879999999999999,52.0,15.001299999999999,Afternoon,Cold
84,2011-01-04,Spring,2011,Jan,15,No,Tuesday,Clear,0.28,0.2727,0.52,0.2537,17,48,65,11.48,13.635,52.0,16.997899999999998,Afternoon,Cold
85,2011-01-04,Spring,2011,Jan,16,No,Tuesday,Clear,0.3,0.2879,0.49,0.2537,15,68,83,12.299999999999999,14.395,49.0,16.997899999999998,Afternoon,Cold
86,2011-01-04,Spring,2011,Jan,17,No,Tuesday,Clear,0.28,0.2727,0.48,0.2239,10,202,212,11.48,13.635,48.0,15.001299999999999,Evening,Cold
87,2011-01-04,Spring,2011,Jan,18,No,Tuesday,Clear,0.26,0.2576,0.48,0.194,3,179,182,10.66,12.879999999999999,48.0,12.998000000000001,Evening,Cold
88,2011-01-04,Spring,2011,Jan,19,No,Tuesday,Clear,0.24,0.2576,0.48,0.1045,2,110,112,9.84,12.879999999999999,48.0,7.0015,Evening,Cold
89,2011-01-04,Spring,2011,Jan,20,No,Tuesday,Clear,0.24,0.2576,0.48,0.1045,1,53,54,9.84,12.879999999999999,48.0,7.0015,Evening,Cold
90,2011-01-04,Spring,2011,Jan,21,No,Tuesday,Clear,0.22,0.2727,0.64,0.0,0,48,48,9.02,13.635,64.0,0.0,Night,Cold
91,2011-01-04,Spring,2011,Jan,22,No,Tuesday,Clear,0.22,0.2576,0.64,0.0896,1,34,35,9.02,12.879999999999999,64.0,6.0032,Night,Cold
92,2011-01-04,Spring,2011,Jan,23,No,Tuesday,Clear,0.2,0.2273,0.69,0.0896,2,9,11,8.200000000000001,11.365,69.0,6.0032,Night,Cold
93,2011-01-05,Spring,2011,Jan,0,No,Wednesday,Clear,0.2,0.2576,0.64,0.0,0,6,6,8.200000000000001,12.879999999999999,64.0,0.0,Night,Cold
94,2011-01-05,Spring,2011,Jan,1,No,Wednesday,Clear,0.16,0.197,0.74,0.0896,0,6,6,6.5600000000000005,9.85,74.0,6.0032,Night,Cold
95,2011-01-05,Spring,2011,Jan,2,No,Wednesday,Clear,0.16,0.197,0.74,0.0896,0,2,2,6.5600000000000005,9.85,74.0,6.0032,Night,Cold
96,2011-01-05,Spring,2011,Jan,4,No,Wednesday,Clear,0.24,0.2273,0.48,0.2239,0,2,2,9.84,11.365,48.0,15.001299999999999,Night,Cold
97,2011-01-05,Spring,2011,Jan,5,No,Wednesday,Clear,0.22,0.2273,0.47,0.1642,0,3,3,9.02,11.365,47.0,11.0014,Night,Cold
98,2011-01-05,Spring,2011,Jan,6,No,Wednesday,Clear,0.2,0.197,0.47,0.2239,0,33,33,8.200000000000001,9.85,47.0,15.001299999999999,Morning,Cold
99,2011-01-05,Spring,2011,Jan,7,No,Wednesday,Clear,0.18,0.1818,0.43,0.194,1,87,88,7.38,9.09,43.0,12.998000000000001,Morning,Cold
100,2011-01-05,Spring,2011,Jan,8,No,Wednesday,Clear,0.2,0.1818,0.4,0.2985,3,192,195,8.200000000000001,9.09,40.0,19.999499999999998,Morning,Cold
101,2011-01-05,Spring,2011,Jan,9,No,Wednesday,Clear,0.22,0.197,0.37,0.3284,6,109,115,9.02,9.85,37.0,22.0028,Morning,Cold
102,2011-01-05,Spring,2011,Jan,10,No,Wednesday,Clear,0.22,0.197,0.37,0.3284,4,53,57,9.02,9.85,37.0,22.0028,Morning,Cold
103,2011-01-05,Spring,2011,Jan,11,No,Wednesday,Clear,0.26,0.2273,0.33,0.3284,12,34,46,10.66,11.365,33.0,22.0028,Morning,Cold
104,2011-01-05,Spring,2011,Jan,12,No,Wednesday,Clear,0.26,0.2273,0.33,0.3284,5,74,79,10.66,11.365,33.0,22.0028,Afternoon,Cold
105,2011-01-05,Spring,2011,Jan,13,No,Wednesday,Clear,0.28,0.2576,0.3,0.2985,6,65,71,11.48,12.879999999999999,30.0,19.999499999999998,Afternoon,Cold
106,2011-01-05,Spring,2011,Jan,14,No,Wednesday,Clear,0.3,0.2879,0.28,0.194,10,52,62,12.299999999999999,14.395,28.000000000000004,12.998000000000001,Afternoon,Cold
107,2011-01-05,Spring,2011,Jan,15,No,Wednesday,Clear,0.3,0.2879,0.28,0.194,7,55,62,12.299999999999999,14.395,28.000000000000004,12.998000000000001,Afternoon,Cold
108,2011-01-05,Spring,2011,Jan,16,No,Wednesday,Clear,0.3,0.3182,0.28,0.0896,4,85,89,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,Afternoon,Cold
109,2011-01-05,Spring,2011,Jan,17,No,Wednesday,Clear,0.24,0.2273,0.38,0.194,4,186,190,9.84,11.365,38.0,12.998000000000001,Evening,Cold
110,2011-01-05,Spring,2011,Jan,18,No,Wednesday,Clear,0.24,0.2424,0.38,0.1343,3,166,169,9.84,12.120000000000001,38.0,8.9981,Evening,Cold
111,2011-01-05,Spring,2011,Jan,19,No,Wednesday,Clear,0.24,0.2576,0.38,0.1045,5,127,132,9.84,12.879999999999999,38.0,7.0015,Evening,Cold
112,2011-01-05,Spring,2011,Jan,20,No,Wednesday,Clear,0.22,0.2273,0.47,0.1642,7,82,89,9.02,11.365,47.0,11.0014,Evening,Cold
113,2011-01-05,Spring,2011,Jan,21,No,Wednesday,Clear,0.2,0.197,0.51,0.194,3,40,43,8.200000000000001,9.85,51.0,12.998000000000001,Night,Cold
114,2011-01-05,Spring,2011,Jan,22,No,Wednesday,Clear,0.18,0.197,0.55,0.1343,1,41,42,7.38,9.85,55.00000000000001,8.9981,Night,Cold
115,2011-01-05,Spring,2011,Jan,23,No,Wednesday,Clear,0.2,0.2576,0.47,0.0,1,18,19,8.200000000000001,12.879999999999999,47.0,0.0,Night,Cold
116,2011-01-06,Spring,2011,Jan,0,No,Thursday,Clear,0.18,0.2424,0.55,0.0,0,11,11,7.38,12.120000000000001,55.00000000000001,0.0,Night,Cold
117,2011-01-06,Spring,2011,Jan,1,No,Thursday,Clear,0.16,0.2273,0.64,0.0,0,4,4,6.5600000000000005,11.365,64.0,0.0,Night,Cold
118,2011-01-06,Spring,2011,Jan,2,No,Thursday,Clear,0.16,0.2273,0.64,0.0,0,2,2,6.5600000000000005,11.365,64.0,0.0,Night,Cold
119,2011-01-06,Spring,2011,Jan,4,No,Thursday,Mist,0.16,0.197,0.64,0.0896,0,1,1,6.5600000000000005,9.85,64.0,6.0032,Night,Cold
120,2011-01-06,Spring,2011,Jan,5,No,Thursday,Mist,0.14,0.1818,0.69,0.0896,0,4,4,5.74,9.09,69.0,6.0032,Night,Cold
121,2011-01-06,Spring,2011,Jan,6,No,Thursday,Mist,0.14,0.1667,0.63,0.1045,0,36,36,5.74,8.334999999999999,63.0,7.0015,Morning,Cold
122,2011-01-06,Spring,2011,Jan,7,No,Thursday,Mist,0.16,0.2273,0.59,0.0,0,95,95,6.5600000000000005,11.365,59.0,0.0,Morning,Cold
123,2011-01-06,Spring,2011,Jan,8,No,Thursday,Clear,0.16,0.2273,0.59,0.0,3,216,219,6.5600000000000005,11.365,59.0,0.0,Morning,Cold
124,2011-01-06,Spring,2011,Jan,9,No,Thursday,Mist,0.18,0.2424,0.51,0.0,6,116,122,7.38,12.120000000000001,51.0,0.0,Morning,Cold
125,2011-01-06,Spring,2011,Jan,10,No,Thursday,Clear,0.2,0.2576,0.47,0.0,3,42,45,8.200000000000001,12.879999999999999,47.0,0.0,Morning,Cold
126,2011-01-06,Spring,2011,Jan,11,No,Thursday,Clear,0.22,0.2576,0.44,0.0896,2,57,59,9.02,12.879999999999999,44.0,6.0032,Morning,Cold
127,2011-01-06,Spring,2011,Jan,12,No,Thursday,Clear,0.26,0.2879,0.35,0.0,6,78,84,10.66,14.395,35.0,0.0,Afternoon,Cold
128,2011-01-06,Spring,2011,Jan,13,No,Thursday,Clear,0.26,0.2727,0.35,0.1045,12,55,67,10.66,13.635,35.0,7.0015,Afternoon,Cold
129,2011-01-06,Spring,2011,Jan,14,No,Thursday,Clear,0.28,0.2727,0.36,0.1642,11,59,70,11.48,13.635,36.0,11.0014,Afternoon,Cold
130,2011-01-06,Spring,2011,Jan,15,No,Thursday,Clear,0.28,0.2727,0.36,0.0,8,54,62,11.48,13.635,36.0,0.0,Afternoon,Cold
131,2011-01-06,Spring,2011,Jan,16,No,Thursday,Clear,0.26,0.2576,0.38,0.1642,12,74,86,10.66,12.879999999999999,38.0,11.0014,Afternoon,Cold
132,2011-01-06,Spring,2011,Jan,17,No,Thursday,Clear,0.22,0.2273,0.51,0.1642,9,163,172,9.02,11.365,51.0,11.0014,Evening,Cold
133,2011-01-06,Spring,2011,Jan,18,No,Thursday,Clear,0.22,0.2273,0.51,0.1343,5,158,163,9.02,11.365,51.0,8.9981,Evening,Cold
134,2011-01-06,Spring,2011,Jan,19,No,Thursday,Clear,0.22,0.2576,0.55,0.0896,3,109,112,9.02,12.879999999999999,55.00000000000001,6.0032,Evening,Cold
135,2011-01-06,Spring,2011,Jan,20,No,Thursday,Clear,0.2,0.2121,0.51,0.1642,3,66,69,8.200000000000001,10.605,51.0,11.0014,Evening,Cold
136,2011-01-06,Spring,2011,Jan,21,No,Thursday,Mist,0.22,0.2121,0.55,0.2239,0,48,48,9.02,10.605,55.00000000000001,15.001299999999999,Night,Cold
137,2011-01-06,Spring,2011,Jan,22,No,Thursday,Mist,0.22,0.2121,0.51,0.2836,1,51,52,9.02,10.605,51.0,19.0012,Night,Cold
138,2011-01-06,Spring,2011,Jan,23,No,Thursday,Mist,0.2,0.197,0.59,0.194,4,19,23,8.200000000000001,9.85,59.0,12.998000000000001,Night,Cold
139,2011-01-07,Spring,2011,Jan,0,No,Friday,Mist,0.2,0.197,0.64,0.194,4,13,17,8.200000000000001,9.85,64.0,12.998000000000001,Night,Cold
140,2011-01-07,Spring,2011,Jan,1,No,Friday,Mist,0.2,0.197,0.69,0.2239,2,5,7,8.200000000000001,9.85,69.0,15.001299999999999,Night,Cold
141,2011-01-07,Spring,2011,Jan,2,No,Friday,Mist,0.2,0.197,0.69,0.2239,0,1,1,8.200000000000001,9.85,69.0,15.001299999999999,Night,Cold
142,2011-01-07,Spring,2011,Jan,4,No,Friday,Mist,0.2,0.2121,0.69,0.1343,0,1,1,8.200000000000001,10.605,69.0,8.9981,Night,Cold
143,2011-01-07,Spring,2011,Jan,5,No,Friday,Light Rain/Snow,0.22,0.2727,0.55,0.0,0,5,5,9.02,13.635,55.00000000000001,0.0,Night,Cold
144,2011-01-07,Spring,2011,Jan,6,No,Friday,Mist,0.2,0.2576,0.69,0.0,8,26,34,8.200000000000001,12.879999999999999,69.0,0.0,Morning,Cold
145,2011-01-07,Spring,2011,Jan,7,No,Friday,Clear,0.2,0.2121,0.69,0.1343,8,76,84,8.200000000000001,10.605,69.0,8.9981,Morning,Cold
146,2011-01-07,Spring,2011,Jan,8,No,Friday,Clear,0.2,0.197,0.51,0.2537,20,190,210,8.200000000000001,9.85,51.0,16.997899999999998,Morning,Cold
147,2011-01-07,Spring,2011,Jan,9,No,Friday,Clear,0.2,0.1818,0.47,0.2985,9,125,134,8.200000000000001,9.09,47.0,19.999499999999998,Morning,Cold
148,2011-01-07,Spring,2011,Jan,10,No,Friday,Clear,0.22,0.197,0.37,0.3284,16,47,63,9.02,9.85,37.0,22.0028,Morning,Cold
149,2011-01-07,Spring,2011,Jan,11,No,Friday,Mist,0.2,0.197,0.4,0.2239,19,48,67,8.200000000000001,9.85,40.0,15.001299999999999,Morning,Cold
150,2011-01-07,Spring,2011,Jan,12,No,Friday,Mist,0.2,0.197,0.37,0.2537,9,50,59,8.200000000000001,9.85,37.0,16.997899999999998,Afternoon,Cold
151,2011-01-07,Spring,2011,Jan,13,No,Friday,Mist,0.2,0.1818,0.37,0.2836,9,64,73,8.200000000000001,9.09,37.0,19.0012,Afternoon,Cold
152,2011-01-07,Spring,2011,Jan,14,No,Friday,Mist,0.2,0.197,0.4,0.2537,7,43,50,8.200000000000001,9.85,40.0,16.997899999999998,Afternoon,Cold
153,2011-01-07,Spring,2011,Jan,15,No,Friday,Mist,0.2,0.2121,0.37,0.1642,9,63,72,8.200000000000001,10.605,37.0,11.0014,Afternoon,Cold
154,2011-01-07,Spring,2011,Jan,16,No,Friday,Mist,0.2,0.2121,0.37,0.1642,5,82,87,8.200000000000001,10.605,37.0,11.0014,Afternoon,Cold
155,2011-01-07,Spring,2011,Jan,17,No,Friday,Mist,0.2,0.2576,0.37,0.0,9,178,187,8.200000000000001,12.879999999999999,37.0,0.0,Evening,Cold
156,2011-01-07,Spring,2011,Jan,18,No,Friday,Clear,0.2,0.2273,0.4,0.0896,7,116,123,8.200000000000001,11.365,40.0,6.0032,Evening,Cold
157,2011-01-07,Spring,2011,Jan,19,No,Friday,Clear,0.16,0.197,0.55,0.0896,3,92,95,6.5600000000000005,9.85,55.00000000000001,6.0032,Evening,Cold
158,2011-01-07,Spring,2011,Jan,20,No,Friday,Clear,0.18,0.2121,0.47,0.1045,1,50,51,7.38,10.605,47.0,7.0015,Evening,Cold
159,2011-01-07,Spring,2011,Jan,21,No,Friday,Clear,0.18,0.197,0.47,0.1343,0,39,39,7.38,9.85,47.0,8.9981,Night,Cold
160,2011-01-07,Spring,2011,Jan,22,No,Friday,Mist,0.18,0.197,0.43,0.1642,2,34,36,7.38,9.85,43.0,11.0014,Night,Cold
